x[nm]                    Hole_density[1e18_cm^-3]
-3215                    0
-3119.2034418243         0
-3027.2217989961         3.5287752510127e-08
-2938.9031497825         7.2949257109565e-08
-2854.1016224443         7.5622165747661e-08
-2772.6771543062         8.0091629891353e-08
-2694.4952604221         8.6542563276037e-08
-2619.4268114523         9.532196480301e-08
-2547.3478203872         1.0697794307864e-07
-2478.1392377635         1.2233442513156e-07
-2411.6867550358         1.4262027519816e-07
-2347.8806157786         1.6969029495329e-07
-2286.6154344071         2.0641226532154e-07
-2227.7900221163         2.5737226089506e-07
-2171.3072197526         3.3022917811741e-07
-2117.0737373405         4.3849261707522e-07
-2065                    6.0770786264925e-07
-2015                    4.4537583669176e-07
-1965                    7.2255101643301e-74
-1915                    2.0389201120535e-207
-1865                    0
-1815                    0
-1765                    0
-1715                    0
-1665                    0
-1615                    0
-1565                    0
-1515                    0
-1465                    0
-1415                    0
-1365                    0
-1315                    0
-1265                    0
-1215                    0
-1165                    0
-1115                    0
-1065                    0
-1015                    0
-965                     0
-911.44721015809         0
-854.08918416105         0
-792.65553792172         0
-726.85667499619         0
-656.38242143442         0
-580.90056362925         0
-500.0552822709          0
-413.46547502503         0
-320.72296002723         0
-221.39055172548         0
-115                     0
-15                      4.9131038080281e-05
-14                      0.0050312223225481
-13                      0.0052317756821542
-12                      0.0055744249491248
-11                      0.0060773681278981
-10                      0.0067677901195438
-9                       0.0076839185854274
-8                       0.0088780640624876
-7                       0.010421017726491
-6                       0.012408366165329
-5                       0.014969564789357
-4                       0.018281048225585
-3                       0.022585342639267
-2                       0.028219241463523
-1                       0.035655886325274
0                        0.022784268350423
1                        0
2.1090742078449          0
3.3391198063518          0
4.703331654129           0
6.2163438285351          0
7.8943866073244          0
9.75546057294            0
11.819529707096          0
14.108735546997          0
16.64763470048           0
19.463462267926          0
22.58642399672           0
26.050020302212          0
29.891405631021          0
34.151787021596          0
38.876866137466          0
44.117329514904          0
49.929392283976          0
56.37540119553           0
63.524503422873          0
71.453388312466          0
80.247110040485          0
90                       0
100                      0.036281501072407
100.1                    3.6737035787239
100.2                    3.6915890840645
100.3                    3.7181718531365
100.4                    3.7535764976864
100.5                    3.7979692951028
100.6                    3.8515592380429
100.7                    3.9145993620276
100.8                    3.9873883649684
100.9                    4.0702725356625
101                      2.081824005782
101.1                    0
101.26208862625          0
101.52481585386          0
101.95066680788          0
102.64092276915          0
103.75974917439          0
105.57323952481          0
108.51270112104          0
113.27723404163          0
121                      0
127.66666666667          0
134.33333333333          0
141                      0
149                      0
157.06347307696          0
165.19092283482          0
173.38285687317          0
181.63978681898          0
189.96222835853          0
198.35070126962          0
206.80572945404          0
215.3278409703           0
223.91756806657          0
232.57544721397          0
241.30201914005          0
250.09782886256          0
258.9634257235           0
267.89936342342          0
276.90620005601          0
285.98449814295          0
295.13482466902          0
304.35775111757          0
313.65385350615          0
323.02371242253          0
332.46791306092          0
341.98704525855          0
351.5817035325           0
361.25248711683          0
371                      0
381                      0
393.82115688099          0
410.25936325768          0
431.33504553745          0
458.35650842573          0
493.00114991018          0
537.41958826596          0
594.36916492275          0
667.38511058503          0
761                      0
859.33333333333          0
957.66666666667          0
1056                     0
1154.3333333333          0
1252.6666666667          0
1351                     0
1449.3333333333          0
1547.6666666667          0
1646                     0
1744.3333333333          0
1842.6666666667          0
1941                     0
