x[nm]                    Gamma[eV]                L_1[eV]                  L_2[eV]                  L_3[eV]                  L_4[eV]                  X_1[eV]                  X_2[eV]                  X_3[eV]                  HH[eV]                   LH[eV]                   SO[eV]                   electron_Fermi_level[eV] hole_Fermi_level[eV]    
-3215                    2.5113997063312          1.1363997063312          1.1363997063312          1.1363997063312          1.1363997063312          0.29639970633123         0.29639970633123         0.29639970633123         -0.87360023115121        -0.87360023115121        -0.91760023115121        0                        0
-3119.2036418243         2.5113997063312          1.1363997063312          1.1363997063312          1.1363997063312          1.1363997063312          0.29639970633123         0.29639970633123         0.29639970633123         -0.87360023115121        -0.87360023115121        -0.91760023115121        0                        0
-3119.2032418243         2.5113997063312          1.1363997063312          1.1363997063312          1.1363997063312          1.1363997063312          0.29639970633123         0.29639970633123         0.29639970633123         -0.87360023115121        -0.87360023115121        -0.91760023115121        0                        0
-3027.2219989961         2.5113997063312          1.1363997063312          1.1363997063312          1.1363997063312          1.1363997063312          0.29639970633123         0.29639970633123         0.29639970633123         -0.87360023115121        -0.87360023115121        -0.91760023115121        0                        0
-3027.2215989961         1.1779278962419          0.7405691450514          0.7405691450514          0.7405691450514          0.7405691450514          0.50594400192833         0.50594400192833         1.1362631563691          -0.0001897521915506      -0.16121036775743        -0.71328148748573        0                        0
-2938.9033497825         1.1779282100683          0.74056945887779         0.74056945887779         0.74056945887779         0.74056945887779         0.50594431575472         0.50594431575472         1.1362634701955          -0.00018943836516216     -0.16121005393104        -0.71328117365934        0                        0
-2938.9029497825         1.1779282100683          0.74056945887779         0.74056945887779         0.74056945887779         0.74056945887779         0.50594431575472         0.50594431575472         1.1362634701955          -0.00018943836516216     -0.16121005393104        -0.71328117365934        0                        0
-2854.1018224443         1.1779291095179          0.74057035832735         0.74057035832735         0.74057035832735         0.74057035832735         0.50594521520429         0.50594521520429         1.1362643696451          -0.0001885389155929      -0.16120915448148        -0.71328027420977        0                        0
-2854.1014224443         1.1779291095179          0.74057035832735         0.74057035832735         0.74057035832735         0.74057035832735         0.50594521520429         0.50594521520429         1.1362643696451          -0.0001885389155929      -0.16120915448148        -0.71328027420977        0                        0
-2772.6773543062         1.1779305447846          0.74057179359409         0.74057179359409         0.74057179359409         0.74057179359409         0.50594665047103         0.50594665047103         1.1362658049118          -0.00018710364885566     -0.16120771921474        -0.71327883894303        -0                       -0
-2772.6769543062         1.1779305447846          0.74057179359409         0.74057179359409         0.74057179359409         0.74057179359409         0.50594665047103         0.50594665047103         1.1362658049118          -0.00018710364885566     -0.16120771921474        -0.71327883894303        -0                       -0
-2694.4954604221         1.1779324810564          0.74057372986589         0.74057372986589         0.74057372986589         0.74057372986589         0.50594858674283         0.50594858674283         1.1362677411836          -0.00018516737705587     -0.16120578294294        -0.71327690267123        -0                       -0
-2694.4950604221         1.1779324810564          0.74057372986589         0.74057372986589         0.74057372986589         0.74057372986589         0.50594858674283         0.50594858674283         1.1362677411836          -0.00018516737705587     -0.16120578294294        -0.71327690267123        -0                       -0
-2619.4270114523         1.1779348962589          0.74057614506837         0.74057614506837         0.74057614506837         0.74057614506837         0.50595100194531         0.50595100194531         1.1362701563861          -0.00018275217457697     -0.16120336774046        -0.71327448746875        -0                       -0
-2619.4266114523         1.1779348962589          0.74057614506837         0.74057614506837         0.74057614506837         0.74057614506837         0.50595100194531         0.50595100194531         1.1362701563861          -0.00018275217457697     -0.16120336774046        -0.71327448746875        -0                       -0
-2547.3480203872         1.1779377799197          0.74057902872919         0.74057902872919         0.74057902872919         0.74057902872919         0.50595388560612         0.50595388560612         1.1362730400469          -0.00017986851375729     -0.16120048407964        -0.71327160380793        -0                       -0
-2547.3476203872         1.1779377799197          0.74057902872919         0.74057902872919         0.74057902872919         0.74057902872919         0.50595388560612         0.50595388560612         1.1362730400469          -0.00017986851375729     -0.16120048407964        -0.71327160380793        -0                       -0
-2478.1394377635         1.177941132962           0.7405823817715          0.7405823817715          0.7405823817715          0.7405823817715          0.50595723864844         0.50595723864844         1.1362763930892          -0.00017651547144415     -0.16119713103733        -0.71326825076562        -0                       -0
-2478.1390377635         1.177941132962           0.7405823817715          0.7405823817715          0.7405823817715          0.7405823817715          0.50595723864844         0.50595723864844         1.1362763930892          -0.00017651547144415     -0.16119713103733        -0.71326825076562        -0                       -0
-2411.6869550358         1.1779449684063          0.74058621721583         0.74058621721583         0.74058621721583         0.74058621721583         0.50596107409276         0.50596107409276         1.1362802285335          -0.00017268002712001     -0.161193295593          -0.7132644153213         -0                       -0
-2411.6865550358         1.1779449684063          0.74058621721583         0.74058621721583         0.74058621721583         0.74058621721583         0.50596107409276         0.50596107409276         1.1362802285335          -0.00017268002712001     -0.161193295593          -0.7132644153213         -0                       -0
-2347.8808157786         1.1779493131249          0.74059056193437         0.74059056193437         0.74059056193437         0.74059056193437         0.5059654188113          0.5059654188113          1.1362845732521          -0.00016833530858262     -0.16118895087447        -0.71326007060276        -0                       -0
